,artist,biography,listeners,playcount
0,BBT,"BBT (Boom Boom Taker) is a four-member Chinese boy group under the label, Simple Joy Music. They debuted on November 15, 2017, with the single, ""Mr. Lee"". The lineup consists of; Sun Haoran (Oya), Lin Haokai (K), Wang Ziyi (Boogie E), and Li Zhijie (Jemmy).

In 2018, all four members participated in the survival reality show, [i}Idol Producer, with only one member ending up in the final lineup of the nine-member project group, NINE PERCENT. Wang Ziyi Read more on Last.fm",2368,17708
1,SaraoMusic,Read more on Last.fm,5908,47822
2,Yoro,"YORO born as Mitsui Ryo (三井瞭) on July 15th, 1997 is a Japanese vocalist and rapper who made his solo debut on October 27th, 2023 with his first single 'OKYORO'.
 
He used to be member of the boygroup NIK from 2021-2023  that was the winner group of the Japanese survival show G-EGG who was held in 2020. Before that he also had participated on the first season of the survival show Produce 101 Japan in 2019. Read more on Last.fm",312,2673
3,d4crvz,"Gabriel da Cruz is a rapper who work in the underground space of brazilian rap. Work under the BANAL seal, created in 2014 by another great name of brazilian underground rap, Gustavo Lessa. Read more on Last.fm",467,3732
4,Duocane,Read more on Last.fm,125,711
5,Mr. Ashé,Read more on Last.fm,19,164
6,Orlando Gibbons,"Orlando Gibbons (1583-1625), English composer and organist of the late Tudor and early Jacobean periods, a leading composer in the England of his day.

Born in Oxford, England, he sang in the choir of King's College, Cambridge between 1596 and 1598, then he entered the university in 1598 and achieved the degree of Bachelor of Music in 1606. James I appointed him a Gentleman of the Chapel Royal, where he served as an organist from at least 1615 until his death. Read more on Last.fm",41405,251143
7,Tempest,"There are many known artists with the name Tempest:

1) TEMPEST (템페스트) is a South Korean boy group under Yue Hua Entertainment. They debuted on March 2, 2022 with the mini album It's ME, It's WE. They consist of the members LEW, Hanbin, Hyeongseop, Hyuk, Hwarang, Eunchan and Taerae.

2) A amazing rapper from Bronx, New York City

3) Tempest is a British rock band founded by Colosseum drummer Jon Hiseman.

Original members included Paul Williams (from John Mayall's Bluesbreakers) singing and Allan Holdsworth on guitar Read more on Last.fm",185313,19729525
8,Dead Heather,Dead Heather is a Costa Rican Grunge band founded by Sergio Leon in 2014. Read more on Last.fm,30,181
9,Charles Mingus,"Charles Mingus (22nd April 1922 – 5th January 1979) was an American jazz bassist, composer, bandleader, and occasional pianist from Los Angeles. He was also known for his activism against racial injustice.

Mingus' legacy is notable: he is ranked among the finest composers and performers in jazz, and recorded many highly regarded albums. Dozens of musicians passed through his bands and later went on to impressive careers. His songs - though melodic and distinctive - are not often recorded by later musicians Read more on Last.fm",972507,16816222
10,Pihlanne,Read more on Last.fm,126,1216
11,John Sebastian,"John Sebastian (born John Benson Sebastian on 17 March 1944, in Greenwich Village, New York City) is an American songwriter and harmonica player. He is best known as a founder of The Lovin' Spoonful, a band inducted into the Rock and Roll Hall of Fame in 2000. His tie-dyed denim jacket is prominently displayed there.

Early in their recording and airwave career, Lovin' Spoonful members termed their approach ""good-time music"". Unlike many pop groups of the day Read more on Last.fm",73672,379212
12,Lynyrd Skynyrd,"Lynyrd Skynyrd (pronounced /ˌlɛnərd ˈskɪnərd/ LEN-ərd-SKIN-ərd) is a Southern Rock band, formed in Jacksonville, Florida, USA in 1964. The band became prominent in the Southern United States in 1973, and rose to worldwide recognition before three members and one road crew member died in an airplane crash in 1977. The band reformed in 1987 for a reunion tour with lead singer Ronnie Van Zant's younger brother Johnny as the frontman. Lynyrd Skynyrd continues to tour and record. Read more on Last.fm",2951381,53167394
13,Hamzaa,"With her powerfully vulnerable lyrics and sincerely breathtaking voice, Malika Hamzaa is an artist whose music sounds emotionally-wise beyond her age. As the London singer-songwriter - who goes, simply, by Hamzaa - says, ""The most beautiful thing about humans is that we can speak; that we can say how we feel and voice our opinions"". This expressiveness that she sees in human nature is something that seems to resound innately and effortlessly in her soulful, R&B-pop, not least on her stunning EP, 2018's 'First Signs Of Me'. Read more on Last.fm",56310,273370
14,Bossa Lounge Deluxe,Read more on Last.fm,1879,9295
15,Manjit Rupowalia,Read more on Last.fm,242,1115
