,0,1
0,BBT,Awaken-F
1,BBT,TEAM SPARK
2,BBT,C.T.O
3,BBT,oner
4,BBT,Mr.Tyger
5,SaraoMusic,Sonic Beat
6,SaraoMusic,Raude
7,SaraoMusic,Raphael Ibanez de Garayo
8,SaraoMusic,Max Concors
9,SaraoMusic,le Fat Club
10,Yoro,Atomic Rose
11,Yoro,Calle Palermo
12,Yoro,Tux Lunan
13,Yoro,Nelson Padilla
14,Yoro,Diablos Negros
15,d4crvz,GÁBE
16,d4crvz,Ordem Natural
17,d4crvz,lis mc
18,d4crvz,Lessa Gustavo
19,d4crvz,Sergio Estranho
20,Duocane,Nadsat
21,Duocane,Cucineremo Ciambelle
22,Duocane,Uzeda
23,Duocane,Do Nascimiento
24,Duocane,I Camillas
25,Mr. Ashé,Zof ziro
26,Mr. Ashé,RUZTO
27,Mr. Ashé,Eddy Mugre
28,Mr. Ashé,Soul AM
29,Mr. Ashé,No Rules Clan
30,Orlando Gibbons,Thomas Weelkes
31,Orlando Gibbons,Johannes Ockeghem
32,Orlando Gibbons,John Taverner
33,Orlando Gibbons,Orlande de Lassus
34,Orlando Gibbons,Giovanni Gabrieli
35,Tempest,LUN8
36,Tempest,BAE173
37,Tempest,EPEX
38,Tempest,Trendz
39,Tempest,Younite
40,Dead Heather,the country serenade
41,Dead Heather,We can think about it
42,Dead Heather,HMMHRTS
43,Dead Heather,Mourning Lamb
44,Dead Heather,watch me rot into my bed
45,Charles Mingus,John Coltrane
46,Charles Mingus,Thelonious Monk
47,Charles Mingus,Miles Davis
48,Charles Mingus,Art Blakey & The Jazz Messengers
49,Charles Mingus,Eric Dolphy
50,Pihlanne,Aili Ikonen
51,Pihlanne,Aili Järvelä
52,Pihlanne,Yeboyah
53,Pihlanne,Saarisalo
54,Pihlanne,Touko
55,John Sebastian,Country Joe McDonald
56,John Sebastian,Colin Blunstone
57,John Sebastian,Richie Havens
58,John Sebastian,Arlo Guthrie
59,John Sebastian,Tim Hardin
60,Lynyrd Skynyrd,Molly Hatchet
61,Lynyrd Skynyrd,Blackfoot
62,Lynyrd Skynyrd,The Allman Brothers Band
63,Lynyrd Skynyrd,The Marshall Tucker Band
64,Lynyrd Skynyrd,ZZ Top
65,Hamzaa,Loony
66,Hamzaa,Otis Kane
67,Hamzaa,Mahalia
68,Hamzaa,Elmiene
69,Hamzaa,Jaz Karis
70,Bossa Lounge Deluxe,Hotel Jazz Deluxe
71,Bossa Lounge Deluxe,Bangkok Speakeasy Luxury
72,Bossa Lounge Deluxe,Bossa Cafe Deluxe
73,Bossa Lounge Deluxe,Java Jazz Cafe
74,Bossa Lounge Deluxe,Harlem Jazz Guitar Quartet
75,Manjit Rupowalia,Veer Sukhwant
76,Manjit Rupowalia,Shinda Shonki
77,Manjit Rupowalia,Preet Brar
78,Manjit Rupowalia,Miss Pooja
79,Manjit Rupowalia,Babbu Maan
80,Jorma Kaukonen,The Wood Brothers
81,Jorma Kaukonen,Chris Smither
82,Jorma Kaukonen,Jonathan Richman
83,Jorma Kaukonen,Those Darlins
84,Jorma Kaukonen,John Hurlbut & Jorma Kaukonen
85,Color for Shane,Forgotten Boys
86,Color for Shane,Garotas Suecas
87,Color for Shane,FingerFingerrr
88,Color for Shane,Facas Voadoras
89,Color for Shane,The Salad Maker
90,The Ready Set,Artist vs. Poet
91,The Ready Set,Breathe Carolina
92,The Ready Set,Never Shout Never
93,The Ready Set,The Summer Set
94,The Ready Set,Owl City
95,Alexie Divello,Allertz
96,Alexie Divello,Electrick Village
97,Alexie Divello,Sebastian Sollerman
98,Alexie Divello,Made In June
99,Alexie Divello,John Alexander
100,Uncle Sam,Caspa
101,Uncle Sam,Rusko
102,Uncle Sam,The Others
103,Uncle Sam,Distance
104,Uncle Sam,Coki
105,Joe Mooney,Mabel Mercer
106,Joe Mooney,Bobby Short
107,Joe Mooney,Marilyn Maye
108,Joe Mooney,Carol Sloane
109,Joe Mooney,Thelma Gracen
110,Todd Rundgren,Utopia
111,Todd Rundgren,Big Star
112,Todd Rundgren,The Beach Boys
113,Todd Rundgren,Harry Nilsson
114,Todd Rundgren,10cc
115,Mose Allison,Lorez Alexandria
116,Mose Allison,Tommy Flanagan
117,Mose Allison,Jimmy Smith
118,Mose Allison,Hampton Hawes
119,Mose Allison,Mel Tormé
120,Landing,Yume Bitsu
121,Landing,Windy & Carl
122,Landing,SIANspheric
123,Landing,Flying Saucer Attack
124,Landing,Bluetile Lounge
125,Nick Finzer,Geoffrey Dean
126,Nick Finzer,Michael Feinberg
127,Nick Finzer,Mariel Bildsten
128,Nick Finzer,Albare
129,Nick Finzer,Michael Dease
130,Johnny Winter,John Mayall
131,Johnny Winter,Rory Gallagher
132,Johnny Winter,Savoy Brown
133,Johnny Winter,Canned Heat
134,Johnny Winter,Robin Trower
135,Lil Dev,Nino Man
136,Lil Dev,Tsu Surf
137,Lil Dev,Cee1k
138,Lil Dev,ALBEE AL
139,Lil Dev,Snoopy Dinero
140,Hanses,Otis Neon
141,Hanses,Spurendieb
142,Hanses,JOSA
143,Hanses,gknister
144,Hanses,Guzimi
145,Jaivah,Billnass
146,Jaivah,Whozu
147,Jaivah,Abigail Chams
148,Jaivah,Mbosso
149,Jaivah,Jux
150,Husan,Bhangra Knights
151,Husan,Bhangra Knights vs. Husan
152,Husan,Bally Sagoo
153,Husan,Rishi Rich
154,Husan,Gunjan
155,TV's Kyle,Juttman
156,TV's Kyle,Carrie Dahlby
157,TV's Kyle,The Great Luke Ski
158,TV's Kyle,Possible Oscar
159,TV's Kyle,Nuclear Bubble Wrap
160,Shoes,Dwight Twilley Band
161,Shoes,The Rubinoos
162,Shoes,Bram Tchaikovsky
163,Shoes,20/20
164,Shoes,Phil Seymour
165,Kostas Makedonas,Melina Kana
166,Kostas Makedonas,Ελένη Τσαλιγοπούλου
167,Kostas Makedonas,Melina Aslanidou
168,Kostas Makedonas,Τάνια Τσανακλίδου
169,Kostas Makedonas,Dimitra Galani
170,Ruggero Scandiuzzi,Titti Bianchi
171,Ruggero Scandiuzzi,Roberto Polisano
172,Ruggero Scandiuzzi,Franco Bastelli
173,Ruggero Scandiuzzi,Al Rangone
174,Ruggero Scandiuzzi,Pietro Galassi
175,Charme Chulo,Terminal Guadalupe
176,Charme Chulo,Os Dissonantes
177,Charme Chulo,Poléxia
178,Charme Chulo,Relespública
179,Charme Chulo,Ecos Falsos
180,Lars Gullin,Jan Johansson
181,Lars Gullin,Coleman Hawkins
182,Lars Gullin,Coleman Hawkins & Ben Webster
183,Lars Gullin,Gerry Mulligan
184,Lars Gullin,Monica Zetterlund
185,Big Image,Tom A. Smith
186,Big Image,Spangled
187,Big Image,The Lilacs
188,Big Image,The Zangwills
189,Big Image,The Kairos
190,Namua Morimoto,pukkey
191,Namua Morimoto,LISA YAMAGUCHI
192,Namua Morimoto,YU-A
193,Namua Morimoto,8utterfly
194,Namua Morimoto,SPICY CHOCOLATE
195,Aferdita Demaku,Motrat Mustafa
196,Aferdita Demaku,Afrim Muciqi
197,Aferdita Demaku,Mahmut Ferati
198,Aferdita Demaku,Shkurte Fejza
199,Aferdita Demaku,Remzie Osmani
200,Miguel Ríos,Burning
201,Miguel Ríos,Joaquín Sabina
202,Miguel Ríos,Ana Belén
203,Miguel Ríos,Leño
204,Miguel Ríos,Radio Futura
205,Pedrinho Cavalléro,O Uirapurú Mirim
206,Pedrinho Cavalléro,Arraial Do Pavulagem
207,Pedrinho Cavalléro,Sancari
208,Pedrinho Cavalléro,O badalado conjunto carimbó
209,Pedrinho Cavalléro,Banda Warilou
210,Matiu Colin,Oso PArdo
211,Matiu Colin,Hipsum
212,Matiu Colin,Los Maricas
213,Matiu Colin,Juliana Quédate Otro Dia
214,Matiu Colin,Higuita en Chanclas
215,Código Zero,asdf
216,Código Zero,Sensor
217,Código Zero,Cuatro y medio
218,Código Zero,Radio Kaos
219,Código Zero,Rostros Ocultos
220,Slow Relaxing Jazz,Instrumental Jazz Trio New York
221,Slow Relaxing Jazz,Classy Bossa Piano Jazz Playlist
222,Slow Relaxing Jazz,Chilled Morning Music
223,Slow Relaxing Jazz,Coffee House Days
224,Slow Relaxing Jazz,Sofa Thesis
225,Тетяна Бученко,гурт Козятинські козаки
226,Тетяна Бученко,Михайло Березутський
227,Тетяна Бученко,гурт Вишня
228,Тетяна Бученко,Гурт Експрес
229,Тетяна Бученко,Євгенія Неборячок
230,Zubeen Garg,Sonu Nigam
231,Zubeen Garg,Himesh Reshammiya
232,Zubeen Garg,Mohammed Rafi
233,Zubeen Garg,Arijit Singh
234,Zubeen Garg,Anand Raj Anand
235,Shirley & Lee,Lloyd Price
236,Shirley & Lee,The Silhouettes
237,Shirley & Lee,The Bobbettes
238,Shirley & Lee,The Del-Vikings
239,Shirley & Lee,LaVern Baker
240,Donna Lewis,Sophie B. Hawkins
241,Donna Lewis,Paula Cole
242,Donna Lewis,Jewel
243,Donna Lewis,Wilson Phillips
244,Donna Lewis,Billie Myers
245,Zéu Britto,Lirinha
246,Zéu Britto,Ronei Jorge e os ladrões de bicicleta
247,Zéu Britto,Cérebro Eletrônico
248,Zéu Britto,Zé Ramalho e Sepultura
249,Zéu Britto,Sua Mãe
250,Koolade,Tram 11
251,Koolade,fil tilen
252,Koolade,Nered i stoka
253,Koolade,Prazna Lepinja
254,Koolade,Connect
255,Louise Dowd,"Kat Green,Thomas Dean Pugh-Fields"
256,Louise Dowd,Kenzo Bond
257,Louise Dowd,Sam Joseph Delves
258,Louise Dowd,Elizabeth Riordan
259,Louise Dowd,"DeeJay Pin-Up,Richard Harris"
260,Daryl Hall & John Oates,Daryl Hall
261,Daryl Hall & John Oates,Kenny Loggins
262,Daryl Hall & John Oates,Huey Lewis & The News
263,Daryl Hall & John Oates,Mr. Mister
264,Daryl Hall & John Oates,Ambrosia
265,Miss Pooja,Manak-E
266,Miss Pooja,Sukshinder Shinda
267,Miss Pooja,Kanika Kapoor
268,Miss Pooja,DJ Sanj
269,Miss Pooja,Aman Hayer
270,The Erotics,Rockets To Ruin
271,The Erotics,New Generation Superstars
272,The Erotics,United Enemies
273,The Erotics,Steevi Jaimz
274,The Erotics,Kid Ego
275,Joe Liggins,Roy Milton
276,Joe Liggins,Tiny Bradshaw
277,Joe Liggins,Jimmy Liggins
278,Joe Liggins,Bull Moose Jackson
279,Joe Liggins,The Johnny Otis Quintette with Little Esther & The Robins
280,Wagner Almeida,Fernando Motta
281,Wagner Almeida,Fábio de Carvalho
282,Wagner Almeida,mafius
283,Wagner Almeida,Raça
284,Wagner Almeida,Vitor Brauer
285,Melo Bakale,Lengua Secreta
286,Melo Bakale,Diego Martín
287,Melo Bakale,Los Peces
288,Melo Bakale,Iguana Tango
289,Melo Bakale,La Loca María
290,Ramkesh Jiwanpurwala,Khasa Aala Chahar
291,Ramkesh Jiwanpurwala,Masoom Sharma
292,Ramkesh Jiwanpurwala,Bintu Pabra
293,Ramkesh Jiwanpurwala,Billa Sonipat Ala
294,Ramkesh Jiwanpurwala,Ndee Kundu
295,Cigarro Mata,Coágula
296,Cigarro Mata,Oversong
297,Cigarro Mata,Indigans
298,Cigarro Mata,Sabonetes
299,Cigarro Mata,Submerso
300,Hi3ND,STRBLAST
301,Hi3ND,alisium
302,Hi3ND,MHC (Molukka Hip-Hop Community)
303,Hi3ND,SPōKeN
304,Hi3ND,Ebeng Acom
305,Yuri Vinogradov,Igor Yakovenko
306,Yuri Vinogradov,Galina Ustvolskaya
307,Yuri Vinogradov,Альфред Гарриевич Шнитке
308,Yuri Vinogradov,Henry Cowell
309,Yuri Vinogradov,Per Nørgård
310,The Hollywood Flames,The El Dorados
311,The Hollywood Flames,The Nutmegs
312,The Hollywood Flames,The Gladiolas
313,The Hollywood Flames,The Turbans
314,The Hollywood Flames,Lee Andrews & The Hearts
315,Kruglov-Sooäär Quartet,Tony Karapetyan Trio
316,Headnodic,Jazz Addixx
317,Headnodic,Noel Zancanella
318,Headnodic,Raw Produce
319,Headnodic,Raashan Ahmad
320,Headnodic,Crown City Rockers
321,Louis Armstrong & His Hot Seven,Lillie Delk Christian
322,Louis Armstrong & His Hot Seven,Clarence Williams' Blue Five
323,Louis Armstrong & His Hot Seven,Jelly Roll Morton & His Red Hot Peppers
324,Louis Armstrong & His Hot Seven,Johnny Dodds' Black Bottom Stompers
325,Louis Armstrong & His Hot Seven,Bunk Johnson
326,Thanks Joey,Sotusura
327,Thanks Joey,Sandhill
328,Thanks Joey,Azmito
329,Thanks Joey,El Bles
330,Thanks Joey,Off / Side
331,Omar Sosa,Paolo Fresu
332,Omar Sosa,Roberto Fonseca
333,Omar Sosa,Lars Danielsson
334,Omar Sosa,Macha Gharibian
335,Omar Sosa,Avishai Cohen
336,Uriel Henao,Jimmy Gutierrez
337,Uriel Henao,Los Rayos
338,Uriel Henao,Luis Alberto Posada
339,Uriel Henao,Darío Gómez
340,Uriel Henao,Luis Mateus
341,Aye Hit Gee,Insidious Music
342,Aye Hit Gee,LEYMNE
343,Aye Hit Gee,Harris Maq
344,Aye Hit Gee,Jackboi BooMain
345,Aye Hit Gee,Bk Brasco
346,Spandau Ballet,Thompson Twins
347,Spandau Ballet,Duran Duran
348,Spandau Ballet,ABC
349,Spandau Ballet,Kajagoogoo
350,Spandau Ballet,The Human League
351,Rico 2 Smoove,lazy-boy
352,Rico 2 Smoove,Young Iggz
353,Rico 2 Smoove,7thlettahsav
354,Rico 2 Smoove,AWAX4
355,Rico 2 Smoove,Lul Tys
356,Ağadadaş Ağayev,eyyub yaqubov
357,Ağadadaş Ağayev,Eldar Mansurov
358,Ağadadaş Ağayev,Abbas Bağırov
359,Ağadadaş Ağayev,Ədalət Şükürov
360,Ağadadaş Ağayev,Faiq Ağayev
361,The Robins,The Coasters
362,The Robins,The Orioles
363,The Robins,The Spaniels
364,The Robins,The Bobbettes
365,The Robins,The Cadillacs
366,Danilo Bolado,MC Elvis
367,Danilo Bolado,mc menor
368,Danilo Bolado,MC Gato
369,Danilo Bolado,Mc Cego Abusado
370,Danilo Bolado,DJ PERNAMBUCO
371,idontexist,Generic Animal
372,idontexist,maggio
373,idontexist,Sxrrxwland
374,idontexist,≈ Belize ≈
375,idontexist,Nicolaj Serjotti
376,Leroy Hutson,Milton Wright
377,Leroy Hutson,Leon Ware
378,Leroy Hutson,Side Effect
379,Leroy Hutson,The Blackbyrds
380,Leroy Hutson,Norman Connors
381,Umm Kulthum,Abdel Halim Hafez
382,Umm Kulthum,Warda
383,Umm Kulthum,Fairuz
384,Umm Kulthum,George Wassouf
385,Umm Kulthum,Mohamed Mounir
386,Jimmy Dorsey,Tommy Dorsey & His Orchestra
387,Jimmy Dorsey,Tommy Dorsey and His Orchestra
388,Jimmy Dorsey,Glenn Miller
389,Jimmy Dorsey,Artie Shaw
390,Jimmy Dorsey,Tommy Dorsey
391,Como Asesinar a Felipes,Phuyu y la Fantasma
392,Como Asesinar a Felipes,Electrodomésticos
393,Como Asesinar a Felipes,Tiro De Gracia
394,Como Asesinar a Felipes,Makiza
395,Como Asesinar a Felipes,Los Tetas
396,Barbara Lewis,Brenton Wood
397,Barbara Lewis,Barbara Lynn
398,Barbara Lewis,Billy Stewart
399,Barbara Lewis,Barbara Mason
400,Barbara Lewis,Mary Wells
401,Giorgio Gaslini,Sandro Brugnolini
402,Giorgio Gaslini,Sven Libaek
403,Giorgio Gaslini,Roberto Pregadio
404,Giorgio Gaslini,Piero Umiliani
405,Giorgio Gaslini,Alessandro Alessandroni
406,Danba,Kashbad
407,Danba,Zer bizio
408,Danba,Leihotikan
409,Danba,Anje Duhalde
410,Danba,Urtz
411,Frente!,The Whitlams
412,Frente!,You Am I
413,Frente!,Cathy Dennis
414,Frente!,Mental As Anything
415,Frente!,Magic Dirt
416,Jazz Relax Coffee House,Classy Bossa Piano Jazz Playlist
417,Jazz Relax Coffee House,Bossa Lounge Bar
418,Jazz Relax Coffee House,Jazz Relax Latin
419,Jazz Relax Coffee House,The Modern Jazz BGM Group
420,Jazz Relax Coffee House,The London Jazz Lounge Bar
421,Birbal Musafir,Suresh Sharma
422,Birbal Musafir,Nati King Kuldeep Sharma
423,Birbal Musafir,Arun Justa
424,Birbal Musafir,Sunil Mastie
425,Birbal Musafir,vicky chauhan
426,Freja Kirk,Svea S
427,Freja Kirk,Hjalmer
428,Freja Kirk,Gregersen
429,Freja Kirk,Annika Aakjær
430,Freja Kirk,"Moses: ""Andreas"""
431,Frances Yip,Paula Tsui
432,Frances Yip,Annabelle Lui
433,Frances Yip,Jenny Tseng
434,Frances Yip,Samantha Lam
435,Frances Yip,Linda Wong
436,Dean Martin,Frank Sinatra
437,Dean Martin,"Sammy Davis, Jr."
438,Dean Martin,Perry Como
439,Dean Martin,Bobby Darin
440,Dean Martin,Nat King Cole
441,Raymonde,Pony Club
442,Raymonde,Johnny Marr + The Healers
443,Raymonde,Easterhouse
444,Raymonde,Polytechnic
445,Raymonde,Delakota
446,The Impalas,The El Dorados
447,The Impalas,The Fiestas
448,The Impalas,Lee Andrews & The Hearts
449,The Impalas,The Nutmegs
450,The Impalas,The Mello-Kings
