,artist,genre,song_name,release_year,id_song
0,Nueva Vulcano,pop,Las Rotondas,2020,6BorshluM5KpYj5vlqFzx4
1,Marisol,pop,Chiquitina - Remasterizado,2020,1DgU9h0uDvZVgWKyQlltrn
2,Alexie Divello,pop,Got This Feeling,2020,6Ya0Qu4qzsw1vZLBapdzvL
3,Los Delinqüentes,pop,Trabubulandia,2020,6NrOiyXnnexQlF3jUtJjNe
4,Jarabe De Palo,pop,Yin yang,2020,3HIYgrF9ZbabFso7JbdX60
5,Barroso,pop,Me Hechizó,2020,3bd54MkFgZxe0h2kponlVW
6,Joe Crepúsculo,pop,Ratas Salvajes,2020,615DSA0aTZFswhBoPljJLA
7,El Sueño de Morfeo,pop,Para toda la vida,2020,7jO9fDEP77W5933xmejXNl
8,Chucho,pop,Yoga Love,2020,2RWzXut6Spun0iVthy8ivm
9,Belako,pop,marinela2017,2020,0Jgxlj9E6c1PSK9EX2c1lT
10,Maldita Nerea,pop,Dos Besos Después,2020,32e35xDIP4VDLO2KMV9B19
11,Antonio Orozco,pop,Hoy,2020,05fdMR2Rq4ZPe9eOsRz7yo
12,Ghost Town,pop,Acid,2020,0cjFlJTwgP8sZXW5Ng9iWm
13,Estopa,pop,Atrapado,2020,4LYtbL4DHvf59c23gXReiV
14,Marisol,pop,Verdiales (Rejas de Bronce) - Remasterizado,2020,2NJDt0yYNJExVu501CmTVH
15,Diana Navarro,pop,Hiciste sangre en mis labios,2020,3dmPdWsdenwhiSdTx9qK6W
16,Dharmacide,pop,1116 Paradise Motel,2020,0iAjg1rotQlsJZLlDetFv5
17,Marisol,pop,Tony - Remasterizado,2020,2Lr03OeVrugyB4KV9FtiLr
18,Marisol,pop,"Verdiales (de ""Un Rayo de Luz"") - Remasterizado",2020,3aWABQLjbI4YLWoybuS8NY
19,Karina,pop,"Tema de Lara (From ""Dr. Zhivago"")",2020,46XD2P7kbPBLvKlry0jDGW
20,Marisol,pop,Mi Carita de Azucena (Tanguillo) - Remasterizado,2020,0m3kYoc2ujxjjSQcSy1bsJ
21,Loquillo Y Los Trogloditas,pop,Coleccionistas,2020,3lBfFjU336Ya9kvqvJJFFq
22,Duo Dinamico,pop,Oh Carol - Remastered,2020,74VpdBYnVXoAc0eZv4h0Bi
23,João Neto & Frederico,pop,Caixinha de Isopor - Ao Vivo,2020,47vwzYWdPXVZDz9FwZum02
24,Manezinho Do Sax,pop,Sax no Forró,2020,6rxqPiQuyP0j44k2rWY1Cp
25,Waldo Cesar,pop,Pra Não Mais Sofrer,2020,7vhmz9naCjoPOtT4qeUSd2
26,Exit,pop,Hambelelwa,2020,7ojRJ4LHDNbrRK2qrgYePM
27,Babushan,pop,To Pain Dhak Dhak,2020,3mC6DHJAvWKEMTEuui1AEq
28,Nilakshi Neog,pop,Xorote,2020,6nCcvwhbl6hGHfNfjTNYbe
29,Sannidhya Bhuyan,pop,Tum Jaane Pehchane Chapter 1,2020,0OtR89Uxeefz7FyhL4WN12
30,MynameiS,pop,Hi Scoot!,2020,3i7LxSqWCsyxaIKEpqAKY8
31,Kaustubh Gaikwad,pop,Mazach Pahije,2020,2yV2cd9IWdTPilZOwsPoWt
32,Acústicos & Valvulados,pop,A Espera,2020,4hgmpC1GTx3pi7Bo0LzN6V
33,Maxter Warjri and The Band,pop,Ngin Lai Pyrto,2020,4HSO0DzrrGVDCUQJ3FcXDl
34,Shahyad,pop,Irane Jamoon,2020,4HPgKiVrAO9vRY3Tk8WoiW
35,Linda Montez,pop,My World,2020,5DD9oYJJ1bK42evy1W3ECB
36,Udit Narayan,pop,"Ninnu Yentha Choosina (From ""Janaki Weds Sriram"")",2020,6eBQqQrdGVn1PZiUuYeyoL
37,Hugo & Tiago,pop,Futuro - Ao Vivo,2020,6va2YFPqVyHbncPGy8hY98
38,Jigmat Ladakhi,pop,DANGSMED,2020,0DXgiGyYX6uIP0jdq3MZa0
39,Yash Rathore,pop,Amlido Amlido - 2,2020,0U6jpMLrYnHldvvN3iacwD
40,Sanne Salomonsen,pop,It Must Have Been Love,2020,07a7Cd0bOeV2be9vGBOqhO
41,Paul Severs,pop,J'ai Tant le Mal de Toi,2020,2dbsuYpWMfqbfxTiKqkF8h
42,Jérome Payet,pop,Samantha,2020,5Y0hEPnMzzGWFHpdOrXsG8
43,MYKYTA LOMAKIN,pop,Зеркала - IPunkz extended Remix,2020,2dcb4RMOORm2XBv54sRBif
44,Rohana Weerasinghe,pop,Sihinaye Sudumal,2020,1yaOxwRTRrnkHa08R2nsmc
45,Brian Hyland,pop,I Don't Know Why (I Just Do) - Remastered,2020,3Mkldmzl5b3Q5UKMeY9gCl
46,Poba Gourab,pop,Ayir,2020,27znUPzXnORwg0fqSWpCMu
47,Kid Noize,pop,Blow It Up,2020,1VywlvROiwKzWFapdoPm9T
48,Agnaldo Timoteo,pop,Rastros na areia,2020,7s7zoe64OIdr0MCDTJOzmo
49,Gavi,pop,Água e Sal,2020,0wJSxBk0BqN7osUAfkb7py
50,Genial Au Japon,pop,A Common Dislike,2020,3lEvhOnfE57MTZ3AVe4ASj
51,Jackie Davis,pop,Constantly - Remastered,2020,6qYdYAmo6LYZBckOfMF5Mr
52,Buster Larsen,pop,Man starter som lille,2020,1t0JIFoDVWHuH9O5JikSQy
53,BBT,pop,You're So Beautiful（伴奏）,2020,3NaCae08BymGQ7DmKNFcuU
54,Fariz RM,pop,Yang Dulu,2020,4nGeVY7Sw8uCGL7wAcYBtE
55,Spandau Ballet,pop,The Freeze,2020,1VzqHJqHPSErLKsEfNC5WQ
56,Kostas Makedonas,pop,O Minas Ehei Ennia,2020,57eL1l4Tv6rc9YlJ64EXqu
57,Mekan Atayev,pop,Sen Gerek Mana,2020,57kNXMC1wwsPZ9jIHMhvGY
58,Yelle,pop,A cause des garçons - Obsession Remix,2020,3lEM8OWrgCOH27mCekFCQO
59,Manjit Rupowalia,pop,Choice,2020,0R6Sk0DL2obhoznGrUdkDP
60,Robert Wells,pop,The Christmas Song,2020,3NYFTXjmulFItDk3bLMcaa
61,Raquel Rastenni,pop,"Ikke penge, men godt humør",2020,19ozyVGN4J2vNtvRheVTHF
62,Ahmet Sipahi,pop,Erimiş Zamanlar,2020,5Es1sdUEaiHjcpl8k31EHB
63,Remixing Mohit RM,pop,Shunki,2020,63pJPjqCwOfKEr9fqCfw1K
64,眉村ちあき,pop,私についてこいよ,2020,2z69Buu8NsNlNAZ2u6p4bs
65,Nitumoni Pegu,pop,Adi Appun - Original,2020,1hzCes8VaiE93wGFdzKgeV
66,Aditya Bhardwaj,pop,Save Me,2020,6MSKLK7ks9zzOxMQS6SDJt
67,MANOJ TIWARI,pop,"Tu Laaj Bachavelu Maai (From ""Maiya Ji Ke Aanchal Mein"")",2020,0ymQVCEFCQhH7lNsPsBmOD
68,Sankalp Khetwal,pop,Sajyu Bolya Sajegi Barat,2020,44qrfTWkYPUXxfwBHN3Dcj
69,Anupriya Lakhawat,pop,Garba Mashup,2020,4l1BMlg3SJoV3EdemnB1Le
70,Stelios Kazantzidis,pop,Den Boro Pia na Vastaxo,2020,6zfY1mfI3KQjLAb43h1mvK
71,Sunsets and Hearts,pop,Forlorn,2020,6Q5kP0CWqnpWMd4avCVfbX
72,Vishwash Rangila,pop,Jahiya Se Gayila Katar,2020,6drpXaGg6Oz5yVo3J4mro3
73,Neon Boy,pop,gengotooto -purple trap-,2020,4nFA1N4aDCT5z2vzpxJl1D
74,UMAKANT BARIK,pop,Pyar Karne Wala,2020,7dobMLcwg3ZseUNPdinvwE
75,Kulwinder Billa,pop,Sucha Soorma - DJ Charan Sandhu Remix,2020,3uxyyNRa52FabQahatI6KE
76,Ravi Raj,pop,Gayatri Mantra,2020,7HTxLiRUSYOL0oPtG3iF9w
77,Aseema Panda,pop,Mora Tu Heiki Nahu,2020,3NZbPhTzeJJbmLNFfMDucc
78,Nonini Mgenge2Ru,pop,Mchezo Na Ganji,2020,72mnz9uERXzaXEWaF6wEjA
79,Nahawa Doumbia,pop,Sigi Sele - Ben Gomori's Disco Dub,2020,4rqd4Zx6hgDMXK2LUmaJNd
80,Calango Brabo,pop,Ventania e a Mulher Diaba,2020,2TDbmuoEnJsuMuXShTCP3r
81,Pramod Premi Yadav,pop,Mandir Bana Deb Maai,2020,72Wx0lIUBNPBheiFE2Q5g9
82,Geeta Goswami,pop,Banna Badi Majako Wala,2020,3lEWGiZJGb2V0BFmPOebB8
83,Shah Farooq,pop,Laray bande crona da lama paty da gran khua da,2020,27yhtOTPg15FoTVDbtnnDX
84,Shoes,pop,Tested Charms,2020,3lFCgu9aCSvPNOnTQlPlYI
85,El Charrito Negro,pop,El Malevo,2020,3lG0GnfJF08N2zim3JnMD8
86,Prakash Rawat,pop,Pitlye Nathuli - Pahari,2020,57lT79DN2DwX0fY0FeqRJE
87,Biswajit Mohapatra,pop,Dhire Dhire - Duet Version,2020,27yJAS500cRTf75hUtEZxb
88,Nika Turković,pop,Raj,2020,4nEi0y1CSX8RTW3nD4Tcx0
89,Gabrielle Aplin,pop,Home,2020,6s9yLctkaB8l3bhv8KkzTy
90,Kaku Ram Thakur,pop,Sumitro,2020,4vDQU4sI1t8cqPN7BZay28
91,Pawan Singh,pop,Naya Ba Machin,2020,05BjYxTLYLML9RN0f938FN
92,MANA,pop,Luas e Ondas - Remix,2020,66P1gQWZYWvFC48TCjnSl8
93,Benny,pop,No me hace bien,2020,6C0ECxYdWcrEYJiiWKgWTL
94,Sandeep Chandel,pop,Radha Shyam,2020,2C5CHnDpieASNDX1NKQVhE
95,Samar Singh,pop,Botal Canteen Wala Holi Mein,2020,6C0qAvntgMAWGZeInXaexL
96,Nadjmadin Ghoulami,pop,Peshmargay Karaman,2020,6dryfzh3URs9sDa7OH9Ndq
97,Aminu Ladan Alan Waka,pop,Kyautatayi,2020,27z54uBg6euHnAdRtqUX3b
98,Rohana Weerasinghe,pop,Ithiri Une Mata,2020,7s6YiuSaakNKURqARjElDu
99,Laidback Luke,pop,Till Tonight - Dub Version,2020,1VyEf7FrrKeRZk6e05HGb6
100,The Fifth Estate,pop,Liar's Dance,2020,5tJF02JPh2Fh8LmKbJHAfo
101,Kuldeep Pattnaik,pop,Nua Premara Shagun,2020,2HEcHuLZZAyhlvd5tzMKHW
102,King James,pop,Psalms (Part 3).4 - The Holy Bible,2020,7BXGwN5xjvztSTb1cjhjO1
103,Waldo Cesar,pop,Flores Para O Meu Bem,2020,2e7SFH6IL1VaCLDYdhVTM3
104,Nadjmadin Ghoulami,pop,Peshmargay Karaman,2020,6dryfzh3URs9sDa7OH9Ndq
105,Enrique Calvetty,pop,Wrong is Right - Kraundler Remix,2020,1ODP5B0h0Bco0BgbgdkNgc
106,Riyan Raj,pop,Poribortane,2020,2dcNG4oi1mWJk9TFoN4bJ9
107,Тетяна Бученко,pop,Колошматить вітер,2020,1t0jzaQgNIogA1XZ9173Yb
108,Гурт Експрес,pop,Ой казав кум кумі,2020,3fwcicVMt5P1owRLwjdNMc
109,Balkar Sidhu,pop,Kurti Tang Kude,2020,44t5t0ZX2LQcMcdhKHkeOY
