,0
0,Summer Walker
1,ODIE
2,Lola Young
3,ULTRA SUNN
4,David Walters
5,Cissy Street
6,The Orion Experience
7,The Silhouettes Project
8,Flyte
9,Ruby Rushton
10,Wizkid
11,Majestic
12,Nubiyan Twist
13,Teyana Taylor
14,Beck
15,Twenty One Pilots
16,Emmet Cohen
17,Gabzy
18,Ronald Langestraat
19,Snazzback
20,Selena Gomez
21,All Time Low
22,Leon Bridges
23,Moonlight Jazz Trio
24,rum.gold
25,Biig Piig
26,Abraham Afewerki
27,Triosence
28,June Freedom
29,Ellie Goulding
30,Mareux
31,Colby Brock
32,Jordan Ward
33,Snoh Aalegra
34,Marcus King
35,Zara Larsson
36,DEMONDICE
37,Ximena & Antonio
38,Loona
39,Biffy Clyro
40,The Marías
41,jxdn
42,Aaryan Shah
43,Architects
44,Nina Simone
45,Hot Mulligan
46,Surprise Chef
47,Forest Blakk
48,Gregory Porter
49,The Royston Club
50,Richard Ashcroft
51,Matt Corby
52,Catching Flies
53,Mario Winans
54,French Police
55,Nikitch
56,Kehlani
57,Black Eyed Peas
58,Quincy Jones
59,Marcin Wasilewski Trio
60,Lana Del Rey
61,Myele Manzanza
62,Sun Room
63,Carsten Dahl
64,Simon Westman Trio
65,Lewis Capaldi
66,Will Paquin
67,ITZY
68,H.E.R.
69,Greentea Peng
70,Jonasu
71,Lars Danielsson
72,Elvine Harley
73,Bluey
74,John Engels
75,Jazzy Coffee
76,Rikard From
77,BRKN LOVE
78,Foo Fighters
79,KAMAUU
80,Bryson Tiller
81,Normani
82,The Rolling Stones
83,Oracle Sisters
84,NEIKED
85,RAYE
86,Martin Landström
87,Ojerime
88,Gary Bartz
89,Cleo Sol
90,Post Malone
91,Funky Times
92,Kevin Walkman
93,Les Sabler
94,Panchiko
95,Nea
96,The Bridge City Sinners
97,Athletic Progression
98,Khruangbin
99,BTS
100,The Beefs
101,Glenn Gatsby
102,Riton
103,Sevyn Streeter
104,The Rare Occasions
105,Southside Trio
106,Miley Cyrus
107,Jake Bugg
108,Keith Urban
109,The Bahama Soul Club
110,Tom Misch
111,Little Dragon
112,Peggy Lee
113,Art Blakey & The Jazz Messengers
114,Yebba
115,Ben Webster
116,OneRepublic
117,Jill Barber
118,Black Stone Cherry
119,ENHYPEN
120,Good Kid
121,Yazmin Lacey
122,Coldplay
123,Mimi Webb
124,Amy Winehouse
125,Lianne La Havas
126,Téo Freire
127,Vitor José Fonseca
128,Chris Brown
129,Zoe Wees
130,Pip Millett
131,Limp Bizkit
132,Papa Roach
133,Q
134,Zubi
135,JP Saxe
136,Chihiro Yamanaka
137,Thomas Rhett
138,The Happy Fits
139,Cody Currie
140,Wesley Joseph
141,Memo Boy
142,Frances Forever
143,Loathe
144,Montell Fish
145,Dzihan & Kamien
146,The Chalkeaters
147,Whitney Houston
148,Kings of Leon
149,Lorde
150,Ibrahim Maalouf
151,Oklou
152,Jack Harlow
