,artist,biography,listeners,playcount
0,Summer Walker,"Summer Marjani Walker is an American singer and songwriter. In 2017, she was signed to Love Renaissance and Interscope Records. The following year, she released the mixtape Last Day of Summer, which spawned the single ""Girls Need Love"", that became her first top 40 entry on the US Billboard Hot 100 chart following a remix featuring Drake. In October 2019, Walker released her debut studio album Over It, which spawned the US top 20 single ""Playing Games"". Read more on Last.fm",1573087,93855000
1,ODIE,"Odie is the name of more than one artist: 1) Canadian RnB artist 2) 2000's American punk band

1) Odie is a Canadian Nigerian RnB artist, raised in the West Coast. His debut album Analogue released in early 2018, following buzzing Soundcloud efforts. 

2) Odie was a teen punk band in Tucson, Arizona.  Shortly after cutting the CD 'Another Day, Another Banana' in 2002, which was privately distributed, the band then disbanded.   Read more on Last.fm",539924,8149834
2,Lola Young,"Lola Young is an R&B-rooted, stylistically dynamic vocalist and multi-instrumentalist whose combination of smoky vocals and mature songwriting has prompted comparisons to Amy Winehouse and Adele. Although the South East London native's 2019 debut, the Intro EP, made a significant impression, she experienced her true breakout in 2021. Her atmospheric cover of ""Together in Electric Dreams"" soundtracked John Lewis & Partners' annual Christmas advertising campaign that year Read more on Last.fm",966200,16874372
3,ULTRA SUNN,"ULTRA SUNN is a contemporary band from Brussels, formed in 2019. Their debut EP got a lot of attention: Sam's deep and dark voice  unfolds over Gaelle's carefully tailored setup of analog synthesizers and industrial drum machines. The couple is haunted by a Coldwave / EBM energy. Witnesses of their time, the band creates dancing, luminous and hypnotic hymns about gender equality, the normative aspect of society, street harassment and the fight against anxiety. Read more on Last.fm",169950,1883823
4,David Walters,"David Walters, is a French singer-songwriter, producer and DJ. Born in Paris, a grandson of West Indians from Saint-Kitts and Martinique, he is the co-founder of the Bordeaux collective known as Zimpala, but now lives in Marseille. His repertoire is a mix of electronic beats and acoustic folk, all with a strong Afro-Caribbean influence. He has worked as remixer for Dupain, Zuco 103 and for Gotan Project, and has also produced one of the songs of Brazilian singer Cibelle's first album. Read more on Last.fm",47314,274691
5,Cissy Street,Read more on Last.fm,13690,60167
6,The Orion Experience,"The Orion Experience (occasionally abbreviated to T.O.E.) was a New York City-based pop rock band led by singer Orion Simprini, active from 2005 to 2014. The band's music appeared on MTV's soundtrack to Laguna Beach and several tracks from their 2007 release, Cosmicandy, were included in Zoey 101: Chasing Zoey. 

After the production of their single ""Rich Man's Holiday"" in 2014, the band split. Beginning in 2016, lead singer Orion Simprini began to produce his own original music Read more on Last.fm",402756,8202200
7,The Silhouettes Project,"The Silhouettes Project is a new platform for up-and-coming Hip-Hop,  Soul and  Jazz artists from the UK. It is not a record label or management team, it is a community project. The Silhouettes Project provides an open space - a recording studio and live venue located within the Total Refreshment Centre in Hackney, London - where MCs, singers, musicians and producers can connect and create. Read more on Last.fm",164074,1607730
8,Flyte,"There are at least three artists called Flyte.

1. Flyte is the indie folk of London, United Kingdom-based singers and songwriters Will Taylor and Nick Hill. They were initially a four-piece, with Jon Supran and Sam Berridge completing the line-up. They released three studio albums thus far: The Loved Ones (2017), This Is Really Going to Hurt (2021) and Flyte (2023).

2. Flyte was a Dutch/Flemish progressive rock group active from circa 1975 to 1981, with a brief reunion in 1984 for a special concert. Read more on Last.fm",265501,3287656
9,Ruby Rushton,"Ruby Rushton are a London-based jazz outfit led by multi-instrumentalist, producer, and 22A label boss Tenderlonious (Ed Cawthorne). They are at the spearhead of South London's 21st century ""new jazz"" movement, playing a highly original meld of Yusef Lateef- and John Coltrane-influenced modal post-bop, soul-jazz, Afro-beat, and Latin grooves often melded to funk, electronica, and hip-hop. Its somewhat fluid membership has circled around, from a quartet to a septet and back again Read more on Last.fm",84989,458309
10,Wizkid,"Ayodeji Ibrahim Balogun (born 16 July 1990), known professionally as Wizkid (sometimes stylized as WizKid), Wizzy, Big Wiz or Starboy, is a Nigerian singer and songwriter.[3] The recipient of received several international music award nominations and awards,[4] he began recording music at the age of 11 and managed to release a collaborative album with the Glorious Five, a group he and a couple of his church friends formed. Wizkid signed a record deal with Empire Mates Entertainment (E.M.E) in 2009. Read more on Last.fm",534143,12305271
11,Majestic,"There are at least 5 bands named Majestic. 

1. A United States indie pop band (formerly knowns as Majestic 12) who play lush, sunny, feel-good music with organs, synthesizers, and trumpets augmenting the usual indie rock guitar/bass/drums set-up. Lead singer Scott Schultz uses the theremin to interlace the music with soaring noises
----------------------------------------
2. Swedish Progressive/Power/Neo-classical Metal band. The group was formed by virtuoso keyboardist Richard Andersson. Read more on Last.fm",492910,3380957
12,Nubiyan Twist,"Nubiyan Twist play an upbeat blend of groove driven music with a powerful horn section, soulful female vocals/mc'ing, live dubs/ electronics, turntablism and an explosive rhythm section stretching from Brazil to the UK.

Nubiyan Twist are a Leeds born, London based musical collective. Orchestrated by guitarist/producer Tom Excell, they create a unique, infectious sound in an eclectic mix of styles, drawing on jazz, hip-hop, afrobeat, latin, soul, reggae and dance music. Read more on Last.fm",100877,881552
13,Teyana Taylor,"Teyana M.J. Taylor (born December 10, 1990) is an American socialite, singer, rapper, choreographer, dancer and actress from Harlem, New York. She was signed to Star Trak Entertainment/Interscope Records and released her debut single, ""Google Me"" in 2007. In 2011, she appeared in Tyler Perry's Madea's Big Happy Family opposite rapper/actor Bow Wow. Now a free agent, Teyana has just released a mixtape: ""The Misunderstanding of Teyana Taylor,"" that is available as a free download on her website:  www. Read more on Last.fm",611348,11844220
14,Beck,"There are multiple artists named Beck:

1) Beck Hansen (born Bek David Campbell, July 8, 1970) is an American musician, singer-songwriter, and multi-instrumentalist.  Beck's music is known for its pop-junk culture collage of musical styles, ironic lyrics, samples, drum machines, live instrumentation and heady sound effects.

Beck was born in Los Angeles, California, to David Campbell (a musician and son of a Presbyterian minister) and Bibbe Hansen (a former dancer for The Velvet Underground Read more on Last.fm",4040937,153546395
15,Twenty One Pilots,"Twenty One Pilots (stylized in all lowercase or as twenty øne piløts) is an American musical duo from Columbus, Ohio. Initially a band, the group was formed in 2009 by lead vocalist Tyler Joseph along with Nick Thomas and Chris Salih, who both left in 2011. Since their departure, the line-up has consisted of Joseph and drummer Josh Dun. The duo is best known for their singles ""Stressed Out"", ""Ride"", and ""Heathens"". The group received a Grammy Award for Best Pop Duo/Group Performance at the 59th Annual Grammy Awards for ""Stressed Out"". Read more on Last.fm",2987260,335317517
16,Emmet Cohen,"Born in New York, 1990.
Multifaceted American jazz pianist and composer Emmet Cohen is one of his
generation's pivotal figures in music and the related arts. Downbeat praised the ""nimble
touch, measured stride and warm harmonic vocabulary"" he employs to communicate
with other musicians and audiences at what he terms ""the deepest level of humanity
and individuality."" Leader of the ""Emmet Cohen Trio"" and creator of the ""Masters
Legacy Series,"" Cohen is an internationally acclaimed jazz artist and dedicated music Read more on Last.fm",18926,103010
17,Gabzy,Read more on Last.fm,46070,434127
18,Ronald Langestraat,"After making a name for himself in the late 70’s Amsterdam jazz scene playing with Cascada and Ritmo Natural, keyboardist Ronald Langstraat began seeking his own musical curiosities and inspirations. Langstraat crowded his living room with electric and acoustic pianos, a Moog synthesizer, organs, drums, clarinets, saxophones, and started to record his dreamy compositions on a 4 track tape recorder. When he shared his work with his bandmates, they ridiculed him to the point where he wrote the song “You Need to Cry” Read more on Last.fm",109554,671084
19,Snazzback,Read more on Last.fm,60191,290308
20,Selena Gomez,"Selena Marie Gomez (born July 22, 1992 in Grand Prairie, TX) is an American singer, actress and film producer. Gomez began her acting career on the children's television series Barney & Friends (2002–2004). As a teenager, she rose to prominence for starring as Alex Russo on the Disney Channel television series Wizards of Waverly Place (2007–2012). Alongside her television career, Gomez appeared in the films Another Cinderella Story (2008), Princess Protection Program (2009) Read more on Last.fm",2932876,187629297
21,All Time Low,"All Time Low are an American pop punk band formed in Baltimore, Maryland, United States in 2003. When Alex Gaskarth (lead vocals, rhythm guitar, keyboards) was in middle school, he was moved from private school to public school, where he met Jack Barakat (lead guitar, backing vocals), and put the band together; later recruiting Rian Dawson (drums, percussion), and Zack Merrick (bass guitar, backing vocals). The band's name came from a line in the New Found Glory song Head On Collision. Read more on Last.fm",2401532,135817469
