,0,1
0,Summer Walker,Mariah the Scientist
1,Summer Walker,Jhené Aiko
2,Summer Walker,Kehlani
3,Summer Walker,SZA
4,Summer Walker,Ari Lennox
5,ODIE,Cautious Clay
6,ODIE,Q
7,ODIE,Chase Shakur
8,ODIE,Berhana
9,ODIE,Chiiild
10,Lola Young,Rachel Chinouriri
11,Lola Young,Remi Wolf
12,Lola Young,Olivia Dean
13,Lola Young,Lorde
14,Lola Young,RAYE
15,ULTRA SUNN,Twin Tribes
16,ULTRA SUNN,NNHMN
17,ULTRA SUNN,Boy Harsher
18,ULTRA SUNN,Bragolin
19,ULTRA SUNN,Vandal Moon
20,David Walters,The Bongo Hop
21,David Walters,Mélissa Laveaux
22,David Walters,El Gato Negro
23,David Walters,Voilaaa
24,David Walters,DjeuhDjoah
25,Cissy Street,Nine Sparks Riots
26,Cissy Street,AFØNK
27,Cissy Street,WRD Trio
28,Cissy Street,Mestizo Beat
29,Cissy Street,Brothers Of My Uncle
30,The Orion Experience,The Happy Fits
31,The Orion Experience,Saint Motel
32,The Orion Experience,Jhariah
33,The Orion Experience,Tally Hall
34,The Orion Experience,Teddy Hyde
35,The Silhouettes Project,VBND
36,The Silhouettes Project,Yazmin Lacey
37,The Silhouettes Project,LEX AMOR
38,The Silhouettes Project,Barney Artist
39,The Silhouettes Project,Gabriels
40,Flyte,junodream
41,Flyte,Billie Marten
42,Flyte,Bess Atwell
43,Flyte,Madison Cunningham
44,Flyte,Black Sea Dahu
45,Ruby Rushton,Vels Trio
46,Ruby Rushton,Snazzback
47,Ruby Rushton,Ebi Soda
48,Ruby Rushton,Jazzbois
49,Ruby Rushton,Tenderlonious
50,Wizkid,BNXN
51,Wizkid,Asake
52,Wizkid,DJ Tunez
53,Wizkid,Burna Boy
54,Wizkid,Seyi Vibez
55,Majestic,Meduza
56,Majestic,Boulevard des Airs
57,Majestic,Omi
58,Majestic,Kore
59,Majestic,Tryo
60,Nubiyan Twist,Blue Lab Beats
61,Nubiyan Twist,Ashley Henry
62,Nubiyan Twist,Ezra Collective
63,Nubiyan Twist,Nubya Garcia
64,Nubiyan Twist,Butcher Brown
65,Teyana Taylor,Jazmine Sullivan
66,Teyana Taylor,Kehlani
67,Teyana Taylor,Summer Walker
68,Teyana Taylor,H.E.R.
69,Teyana Taylor,Coco Jones
70,Beck,The Flaming Lips
71,Beck,Cake
72,Beck,Ween
73,Beck,Spoon
74,Beck,The Beta Band
75,Twenty One Pilots,Balu Brigada
76,Twenty One Pilots,half•alive
77,Twenty One Pilots,Panic! at the Disco
78,Twenty One Pilots,Imagine Dragons
79,Twenty One Pilots,AJR
80,Emmet Cohen,Peter Bernstein
81,Emmet Cohen,Fred Hersch
82,Emmet Cohen,Sullivan Fortner
83,Emmet Cohen,Patricia Brennan
84,Emmet Cohen,Thom Rotella
85,Gabzy,melvitto
86,Gabzy,Melvitto & Gabzy
87,Gabzy,Victony
88,Gabzy,Ruger
89,Gabzy,Maleek Berry
90,Ronald Langestraat,Dorothy Ashby
91,Ronald Langestraat,Mulatu Astatke
92,Ronald Langestraat,Alan Tew
93,Ronald Langestraat,Gene Harris
94,Ronald Langestraat,Sven Libaek
95,Snazzback,Ruby Rushton
96,Snazzback,Underground Canopy
97,Snazzback,The Brothers Nylon
98,Snazzback,Jazzbois
99,Snazzback,Mad Keys
100,Selena Gomez,Selena Gomez & the Scene
101,Selena Gomez,Miley Cyrus
102,Selena Gomez,Camila Cabello
103,Selena Gomez,Bridgit Mendler
104,Selena Gomez,Selena Gomez & Marshmello
105,All Time Low,Simple Creatures
106,All Time Low,Mayday Parade
107,All Time Low,State Champs
108,All Time Low,We the Kings
109,All Time Low,The Maine
