,artist,genre,song_name,release_year,id_song
0,Charli xcx,pop,party 4 u,2020,2RdEC8Ff83WkX7kDVCHseE
1,Joel Corry,pop,Head & Heart (feat. MNEK),2020,6cx06DFPPHchuUAcTxznu9
2,Ava Max,pop,Kings & Queens,2020,7a53HqqArd4b9NF4XAmlbI
3,Ava Max,pop,Sweet but Psycho,2020,7DnAm9FOTWE3cUvso43HhI
4,Dua Lipa,pop,Don't Start Now,2020,3PfIrDoz19wz7qK7tYeu62
5,Dua Lipa,pop,Levitating (feat. DaBaby),2020,5nujrmhLynf4yMoMtj8AQF
6,Olivia Dean,pop,Echo,2020,1Gy9Ofi7nPnNf3kGWPjurm
7,SAULT,pop,Wildfires,2020,4Tzw9IdZbVyzmpWrvsGaNX
8,The Weeknd,pop,Save Your Tears (Remix) (with Ariana Grande) - Bonus Track,2020,1oFAF1hdPOickyHgbuRjyX
9,Kygo,pop,Higher Love,2020,1kKYjjfNYxE0YYgLa7vgVY
10,Wizkid,pop,Essence (feat. Tems),2020,5FG7Tl93LdH117jEKYl3Cm
11,VOILÀ,pop,Figure You Out,2020,2bFGGsScXp2Tu10jKMCKO6
12,YUNGBLUD,pop,parents,2020,5v4OkFH0TJ6W1hCFxyn0px
13,Dua Lipa,pop,Physical,2020,3AzjcOeAmA57TIOr9zF1ZW
14,THE ANXIETY,pop,Meet Me At Our Spot,2020,07MDkzWARZaLEdKxo6yArG
15,Ariana Grande,pop,positions,2020,35mvY5S1H3J2QZyna3TFe0
16,Lady Gaga,pop,Rain On Me (with Ariana Grande),2020,7ju97lgwC2rKQ6wwsf9no9
17,Dua Lipa,pop,Love Again,2020,4rPkN1FMzQyFNP9cLUGIIB
18,BTS,pop,Dynamite,2020,5QDLhrAOJJdNAmCTJ8xMyW
19,Magdalena Bay,pop,Killshot,2020,0LJTfmgOMvlLd0u4HU9twm
20,Conan Gray,pop,Maniac,2020,6KfoDhO4XUWSbnyKjNp9c4
21,Stray Kids,pop,God’s Menu,2020,4XPXrcpyNr30Km6aPiflJy
22,mgk,pop,my ex's best friend (with blackbear),2020,7kDUspsoYfLkWnZR7qwHZl
23,JAWNY,pop,Honeypie,2020,6FfLg6FFqhCsrFOaHIGkg0
24,BLACKPINK,pop,How You Like That,2020,4SFknyjLcyTLJFPKD2m96o
25,Dua Lipa,pop,Break My Heart,2020,017PF4Q3l4DBUiWoXk4OWT
26,Forest Blakk,pop,If You Love Her,2020,727Z2S2mtNH46CbP9EWPwY
27,Ellie Goulding,pop,Lights,2020,0LRCcpSgeozipxPpRg5wzx
28,Ava Max,pop,My Head & My Heart,2020,1KixkQVDUHggZMU9dUobgm
29,Joel Corry,pop,Lonely,2020,2ZEq4HT450Ye9IFGPTl9qV
30,Miley Cyrus,pop,Midnight Sky,2020,4i2qxFEVVUi8yOYoxB8TCX
31,Beach Bunny,pop,Cloud 9,2020,3ZgkHyoKfNMcHTXC0X1qQj
32,Katy Perry,pop,Harleys In Hawaii,2020,3B4etxytImrRKQgV3XHjnR
33,Jung Kook,pop,Still With You,2020,0eFMbKCRw8KByXyWBw8WO7
34,Ariana Grande,pop,34+35,2020,6Im9k8u9iIzKMrmV7BWtlF
35,Black Eyed Peas,pop,GIRL LIKE ME,2020,1zLBsSVxETQOfINOLYvT5m
36,mgk,pop,forget me too (feat. Halsey),2020,1VSuFS7PahCN3SWbOcQ98m
37,Jonasu,pop,Black Magic,2020,7zx1i0jGcFwMBurajgKlO7
38,Diplo,pop,Heartless (feat. Morgan Wallen),2020,3FU6urUVsgXa6RBuV2PdRk
39,The Weeknd,pop,In Your Eyes,2020,7szuecWAPwGoV1e5vGu8tl
40,mgk,pop,bloody valentine,2020,6mADjHs6FXdroPzEGW6KVJ
41,Halsey,pop,You should be sad,2020,7lidXGPXPYLNThITAOTlkK
42,Regard,pop,Secrets,2020,66W1rVTnEv86dIkFhoiElg
